Quarter,Representative,FirstDate,LastDate,Sessions,BuyHoldLogReturn,HeldLogReturn,Exposure,CashSessions,MissedPositiveLogReturn,AvoidedNegativeLogReturn,NetCashOpportunityGap,Early20CashSessions,LongestCashRun,FirstHeldDelay,Top10Upside
2016Q2,P02_REGIME_RECOVERY,2016-04-01,2016-06-30,61,0.106182739231,0.077990101610,0.262295081967,45,0.161991690843,0.133799053222,0.028192637621,20,45,45.000000000000,True
2016Q2,P06_CORE_CARRY_REGIME_VETO,2016-04-01,2016-06-30,61,0.106182739231,0.106182739231,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2016Q3,P02_REGIME_RECOVERY,2016-07-01,2016-09-30,64,-0.039516635765,0.010163045247,0.500000000000,32,0.049079180171,0.098758861182,-0.049679681011,0,32,0.000000000000,False
2016Q3,P06_CORE_CARRY_REGIME_VETO,2016-07-01,2016-09-30,64,-0.039516635765,-0.039516635765,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2016Q4,P02_REGIME_RECOVERY,2016-10-10,2016-12-30,60,-0.035052059733,-0.044171218313,0.850000000000,9,0.014608737030,0.005489578449,0.009119158580,9,9,9.000000000000,False
2016Q4,P06_CORE_CARRY_REGIME_VETO,2016-10-10,2016-12-30,60,-0.035052059733,-0.035052059733,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2017Q1,P02_REGIME_RECOVERY,2017-01-03,2017-03-31,59,0.055005560479,0.025836056541,0.389830508475,36,0.100152221812,0.070982717875,0.029169503938,8,36,0.000000000000,False
2017Q1,P06_CORE_CARRY_REGIME_VETO,2017-01-03,2017-03-31,59,0.055005560479,0.055005560479,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2017Q2,P02_REGIME_RECOVERY,2017-04-05,2017-06-30,60,-0.027309179369,-0.001797591712,0.633333333333,22,0.036698784654,0.062210372312,-0.025511587657,0,22,0.000000000000,False
2017Q2,P06_CORE_CARRY_REGIME_VETO,2017-04-05,2017-06-30,60,-0.027309179369,-0.027309179369,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2017Q3,P02_REGIME_RECOVERY,2017-07-03,2017-09-29,65,0.008454378606,-0.000369071789,0.030769230769,63,0.132818809477,0.123995359082,0.008823450394,18,52,11.000000000000,False
2017Q3,P06_CORE_CARRY_REGIME_VETO,2017-07-03,2017-09-29,65,0.008454378606,0.006255770171,0.400000000000,39,0.081505638865,0.079307030430,0.002198608434,0,39,0.000000000000,False
2017Q4,P02_REGIME_RECOVERY,2017-10-09,2017-12-29,60,-0.003667037479,-0.004764531645,0.900000000000,6,0.005483466109,0.004385971943,0.001097494165,6,6,6.000000000000,False
2017Q4,P06_CORE_CARRY_REGIME_VETO,2017-10-09,2017-12-29,60,-0.003667037479,-0.005860822637,0.600000000000,24,0.023494611877,0.021300826719,0.002193785158,20,24,24.000000000000,False
2018Q1,P02_REGIME_RECOVERY,2018-01-02,2018-03-30,59,-0.008856146444,0.017724701208,0.457627118644,32,0.052675212191,0.079256059844,-0.026580847652,10,32,0.000000000000,False
2018Q1,P06_CORE_CARRY_REGIME_VETO,2018-01-02,2018-03-30,59,-0.008856146444,-0.008856146444,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2018Q2,P02_REGIME_RECOVERY,2018-04-02,2018-06-29,60,-0.012306700168,-0.012306700168,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2018Q2,P06_CORE_CARRY_REGIME_VETO,2018-04-02,2018-06-29,60,-0.012306700168,-0.012306700168,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2018Q3,P02_REGIME_RECOVERY,2018-07-02,2018-09-28,64,-0.005644417620,-0.002650403407,0.796875000000,13,0.012029661693,0.015023675906,-0.002994014213,13,13,0.000000000000,False
2018Q3,P06_CORE_CARRY_REGIME_VETO,2018-07-02,2018-09-28,64,-0.005644417620,-0.005644417620,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2018Q4,P02_REGIME_RECOVERY,2018-10-08,2018-12-28,60,0.062531792022,0.027174573693,0.533333333333,28,0.056152042650,0.020794824321,0.035357218328,0,28,0.000000000000,True
2018Q4,P06_CORE_CARRY_REGIME_VETO,2018-10-08,2018-12-28,60,0.062531792022,0.062531792022,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2019Q1,P02_REGIME_RECOVERY,2019-01-02,2019-03-29,58,-0.011408323375,0.000000000000,0.000000000000,58,0.112214062771,0.123622386146,-0.011408323375,20,58,,False
2019Q1,P06_CORE_CARRY_REGIME_VETO,2019-01-02,2019-03-29,58,-0.011408323375,-0.011408323375,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2019Q2,P02_REGIME_RECOVERY,2019-04-01,2019-06-28,60,0.089458481974,0.079824152324,0.916666666667,5,0.010707483035,0.001073153385,0.009634329650,5,5,5.000000000000,True
2019Q2,P06_CORE_CARRY_REGIME_VETO,2019-04-01,2019-06-28,60,0.089458481974,0.089458481974,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2019Q3,P02_REGIME_RECOVERY,2019-07-01,2019-09-30,65,0.109221903354,0.042351278123,0.461538461538,35,0.177002466401,0.110131841170,0.066870625231,0,35,0.000000000000,True
2019Q3,P06_CORE_CARRY_REGIME_VETO,2019-07-01,2019-09-30,65,0.109221903354,0.109221903354,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2019Q4,P02_REGIME_RECOVERY,2019-10-08,2019-12-31,61,-0.009154057722,0.009751231518,0.360655737705,39,0.079757592838,0.098662882077,-0.018905289240,5,39,0.000000000000,False
2019Q4,P06_CORE_CARRY_REGIME_VETO,2019-10-08,2019-12-31,61,-0.009154057722,-0.009154057722,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2020Q1,P02_REGIME_RECOVERY,2020-01-02,2020-03-31,58,0.038981084235,0.038981084235,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2020Q1,P06_CORE_CARRY_REGIME_VETO,2020-01-02,2020-03-31,58,0.038981084235,0.038981084235,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2020Q2,P02_REGIME_RECOVERY,2020-04-01,2020-06-30,59,0.114448905395,0.084123575680,0.440677966102,33,0.124525998338,0.094200668624,0.030325329715,5,33,0.000000000000,True
2020Q2,P06_CORE_CARRY_REGIME_VETO,2020-04-01,2020-06-30,59,0.114448905395,0.114448905395,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2020Q3,P02_REGIME_RECOVERY,2020-07-01,2020-09-30,66,0.008109522395,-0.000254485305,0.075757575758,61,0.293943810621,0.285579802921,0.008364007700,15,61,0.000000000000,False
2020Q3,P06_CORE_CARRY_REGIME_VETO,2020-07-01,2020-09-30,66,0.008109522395,0.008109522395,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2020Q4,P02_REGIME_RECOVERY,2020-10-09,2020-12-31,60,-0.016541921920,0.000000000000,0.000000000000,60,0.205191927545,0.221733849464,-0.016541921920,20,60,,False
2020Q4,P06_CORE_CARRY_REGIME_VETO,2020-10-09,2020-12-31,60,-0.016541921920,-0.028156454340,0.483333333333,31,0.118041186367,0.106426653946,0.011614532421,0,31,0.000000000000,False
2021Q1,P02_REGIME_RECOVERY,2021-01-04,2021-03-31,58,-0.096645430619,-0.004230721301,0.241379310345,44,0.140251965591,0.232666674909,-0.092414709318,20,44,44.000000000000,False
2021Q1,P06_CORE_CARRY_REGIME_VETO,2021-01-04,2021-03-31,58,-0.096645430619,-0.047200702770,0.448275862069,32,0.100417286025,0.149862013874,-0.049444727849,20,32,32.000000000000,False
2021Q2,P02_REGIME_RECOVERY,2021-04-01,2021-06-30,60,0.020146176607,0.051634424341,0.850000000000,9,0.029764678173,0.061252925907,-0.031488247734,0,9,0.000000000000,False
2021Q2,P06_CORE_CARRY_REGIME_VETO,2021-04-01,2021-06-30,60,0.020146176607,0.020146176607,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2021Q3,P02_REGIME_RECOVERY,2021-07-01,2021-09-30,64,-0.008344971932,-0.008344971932,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2021Q3,P06_CORE_CARRY_REGIME_VETO,2021-07-01,2021-09-30,64,-0.008344971932,-0.008344971932,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2021Q4,P02_REGIME_RECOVERY,2021-10-08,2021-12-31,61,0.010558586560,0.030295154932,0.278688524590,44,0.092472623175,0.112209191546,-0.019736568372,16,44,0.000000000000,False
2021Q4,P06_CORE_CARRY_REGIME_VETO,2021-10-08,2021-12-31,61,0.010558586560,0.010558586560,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2022Q1,P02_REGIME_RECOVERY,2022-01-04,2022-03-31,58,0.062151761327,0.062151761327,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2022Q1,P06_CORE_CARRY_REGIME_VETO,2022-01-04,2022-03-31,58,0.062151761327,0.062151761327,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2022Q2,P02_REGIME_RECOVERY,2022-04-01,2022-06-30,59,-0.013598535910,0.009631608884,0.610169491525,23,0.060235024164,0.083465168958,-0.023230144794,11,23,0.000000000000,False
2022Q2,P06_CORE_CARRY_REGIME_VETO,2022-04-01,2022-06-30,59,-0.013598535910,-0.013598535910,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2022Q3,P02_REGIME_RECOVERY,2022-07-01,2022-09-30,65,0.009173174008,0.004652490867,0.907692307692,6,0.013334942061,0.008814258920,0.004520683141,0,6,0.000000000000,False
2022Q3,P06_CORE_CARRY_REGIME_VETO,2022-07-01,2022-09-30,65,0.009173174008,0.009173174008,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2022Q4,P02_REGIME_RECOVERY,2022-10-10,2022-12-30,60,0.038387517801,0.038387517801,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2022Q4,P06_CORE_CARRY_REGIME_VETO,2022-10-10,2022-12-30,60,0.038387517801,0.038387517801,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2023Q1,P02_REGIME_RECOVERY,2023-01-03,2023-03-31,59,0.069578523041,0.067835711695,0.491525423729,30,0.058806034632,0.057063223286,0.001742811346,13,30,0.000000000000,True
2023Q1,P06_CORE_CARRY_REGIME_VETO,2023-01-03,2023-03-31,59,0.069578523041,0.069578523041,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2023Q2,P02_REGIME_RECOVERY,2023-04-03,2023-06-30,59,0.021775240730,0.018562017860,0.983050847458,1,0.003213222870,-0.000000000000,0.003213222870,0,1,0.000000000000,False
2023Q2,P06_CORE_CARRY_REGIME_VETO,2023-04-03,2023-06-30,59,0.021775240730,0.021775240730,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2023Q3,P02_REGIME_RECOVERY,2023-07-03,2023-09-28,64,0.008215472953,0.000000000000,0.000000000000,64,0.133351997645,0.125136524692,0.008215472953,20,64,,False
2023Q3,P06_CORE_CARRY_REGIME_VETO,2023-07-03,2023-09-28,64,0.008215472953,0.008215472953,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2023Q4,P02_REGIME_RECOVERY,2023-10-09,2023-12-29,60,0.053756168114,0.000000000000,0.000000000000,60,0.169658984107,0.115902815993,0.053756168114,20,60,,False
2023Q4,P06_CORE_CARRY_REGIME_VETO,2023-10-09,2023-12-29,60,0.053756168114,0.053756168114,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2024Q1,P02_REGIME_RECOVERY,2024-01-02,2024-03-29,58,0.108478630114,0.106112274271,0.637931034483,21,0.033606314855,0.031239959013,0.002366355842,20,21,21.000000000000,True
2024Q1,P06_CORE_CARRY_REGIME_VETO,2024-01-02,2024-03-29,58,0.108478630114,0.108478630114,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2024Q2,P02_REGIME_RECOVERY,2024-04-01,2024-06-28,59,0.023301283411,0.038802574288,0.847457627119,9,0.020947630498,0.036448921374,-0.015501290877,0,9,0.000000000000,False
2024Q2,P06_CORE_CARRY_REGIME_VETO,2024-04-01,2024-06-28,59,0.023301283411,0.023301283411,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2024Q3,P02_REGIME_RECOVERY,2024-07-01,2024-09-30,64,0.070162660870,0.070162660870,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2024Q3,P06_CORE_CARRY_REGIME_VETO,2024-07-01,2024-09-30,64,0.070162660870,0.070162660870,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
2024Q4,P02_REGIME_RECOVERY,2024-10-08,2024-12-30,60,0.040019137998,0.055992575566,0.633333333333,22,0.080102979853,0.096076417421,-0.015973437568,11,22,0.000000000000,False
2024Q4,P06_CORE_CARRY_REGIME_VETO,2024-10-08,2024-12-30,60,0.040019137998,0.040019137998,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
